PHP
Stratego/XT
Shen
Speakeasy
urbiscript
UNITY
Subtext
SuperPascal
Split-C
Sort Merge Generator
SiMPLE
TXL
XC
Timber
SubL
Stencyl
Stylus
XMTC
Turing+
TOM
TTM
TACPOL
TELCOMP
TOMVIEW
Twelf
TREE-META
T
ToonTalk
BuddyScript
Subset-equational language
Text Processing Utility
Trade Space Visualizer
TUTOR
TclX
PTQL
thinBasic
UNCOL
XSB
Flex
Astek
XCore XS1
Vim script
Magik
SAKO
VAX Macro
CEMMA
VSXu
Oak
Pizza
Kid’s Programming Language
Procyon
Py
Lush
RPG Code
AdvPL
IBM Disk BASIC
Powerscript
SQLPL
DOPE
TUZ-3
SuperMumps
G-Portugol
Logic Basic
Mana
Mind
Mama
Easy Programming Language
Lazy K
JSX
Baltazar
KS programming
EP-BASIC
Superlogo
TJS2
ActiveBasic
Concurrent Prolog
Ficl
ZhPy
Guarded Horn Clauses
Blitz Basic
Blitz2D
BlitzPlus
BlitzMax
Himawari
WICS
UWSC
Prodel
Nadeshiko
Blitz3D
Dolittle
TTSneo
OML
Concurrent C
Fantasy GameBook Engine
Laser BASIC
Dao
S/SL
Logel
AmiBlitz
MetaQuotes Language MQL4/MQL5
MCPL
Bla
Petr
Extended Syntax of Sinclair BASIC
Loglan 82
Kelimat
Jeem
JaM
Idris
Luna
Basic Sound Extension
PAL
Hack
data-entry language
SAMPL
GameMaker Studio
Potion
flow chart language
Entry
Improved Microdrive BASIC Operating System
ICI
TouchDevelop
SQL
Wolfram Language
EX-BASIC
Xojo
asm.js
Cameleon
PPL
Cypher Query Language
Koala
Abstract-Type and Scheme-Definition Language
Open Virtual Machine Language
Algek
DIPS
///
CafeOBJ
MATH-MATIC
Hermes
Ox
Godot
Umple
ExtendScript
Programming with Big Data in R
PottersWheel
LiveScript
HOL
Stan
Halide
Z++
Object-oriented CSS
JSONiq
DADiSP
M Sharp
Message Format Language
Basic4android
Coopr
Swift
ELI
Itk
Jolie
Windows App Studio
LFE
Mouse
Wyvern
Blockly
PROSE
Swift
P*
Bio7
Tritium
webMethods Flow
Raptor
Cilk++
Telescript
Open Roberta
XcalableMP
Pliant
Blub
Flowgorithm
Visual Logic
Ur/Web
Nim
Ada 95
DUP programming language
Octave
HC-BASIC
Ada 2012
RBASIC
RPython
Ada 83
Arendelle
Abbreviated Language For Authorization
Ada 80
Pixie
Gambas
Crystal
ANSYS Parametric Design Language
Comfy
Hy
Karel++
FileMaker Script
eC
Vienna Definition Language
Golo
Albatross
HolyC
Programming Language for Distributed Systems
MLAB
Tynker
Smart Pascal
PL/X
ModernPascal
Delta COBOL
Beatnik
Openmodelica
PROSA
Solidity
XLNT
PL/8
GraphQL
Whiley
Dice
P4
STELLA
KUKA Robot Language
JSFuck
SWAF
B4X
Hierarchical Editing Language for Macromolecules
"Updated 7m cn livescore football results the fastest, the earliest in the world."
Janus
Ring
Kaya
Disk Extended Color BASIC
Citrine
Qore
LTR
RCML
CSS preprocessor
Neo Sign 0f Misery
SuperNova
Milk
CS-4
WaveGL
TouchDesigner
Posity
EXAPT
Cuis Smalltalk
EarSketch
Cuneiform
Dog
Toi
PLASMA
XCY
Céu
Storyboard
BCY
PQL
HAGGIS
Programmable Command Language
jq
SpiderBasic
CSCM
FORTRAN for the IBM 704
dBase programming language
SL5
Sue
Links
Stanislaus
ARC Assembly
Klammerausdrücke
ENIAC Short Code
Boehm unnamed coding system
Superplan
Birkbeck Assembler
Regional Assembly Language
Curry notation system
ALGAE
Intermediate Programming Language
ENIAC coding system
OMNIBAC Symbolic Assembler
Von Neumann and Goldstine graphing system
CPC Coding scheme
Green
MIDAS
RPG/400
Brief Code
GPM
GDScript
Reia
Analytical Engine order code
RPG IV
Turbo Pascal OOP
Caml Light
Computest
Yellow
COMPOOL
Internal Translator
Sequentielle Formelübersetzung
UNICODE
Editing Generator
PRINT
Freiburger Code
Space Programming Language
BACAIC
Whirlwind assembler
IBM Advanced BASIC
READ/PRINT
MATRIX MATH
Rochester assembler
P
FriCAS
Discipulus
ShEx
Python 3
Bogus
Lusus
Arduino
SKILL
TLA+
Alusus
Nock
Ixi lang
VIPLE
MATLAB
AIMACO
Manchester Scene Description Language
Glass
Emmental
Ada 2005
Deadfish
Darwin
Pony
Ballerina
Ada 2020
Bloom
Futhark
Argus
Dafny
Zig
Loglan
Ballerina (programming language)
Эль-76
Loglan 88
Snap4Arduino
Level I BASIC
StaDyn
Q#
M language
Tekkie Uni
Amber
V
ZIL
Reason
Odin
C2
Orca
Gleam
1C:Enterprise programming language
Bosque
Myrddin
Pyret
GraphQL Editor
PureScript
Alore
Biological Expression Language
graph query language
Cirq
PWCT
TI-BASIC 83
Frame-based editor
Zenith Parsing Engine
JS++
wollok
